app_name	ड्यूटीपे
ai_protected_posting	AI-सुरक्षित पोस्टिंग
notification_not_found	सूचना नहीं मिली
go_back	वापस जाएँ
delete_notification	सूचना हटाएँ
opening_chat	चैट खोली जा रही है...
failed_to_open_chat	चैट खोलने में विफल: %s
employer_info_not_available	नियोक्ता की जानकारी उपलब्ध नहीं
please_complete_profile_to_apply	आवेदन करने के लिए कृपया अपनी प्रोफ़ाइल पूरी करें
contact_number_not_available	संपर्क नंबर उपलब्ध नहीं
phone_number_not_available	फ़ोन नंबर उपलब्ध नहीं
job_details_label	नौकरी का विवरण
job_description_label	नौकरी का विवरण
dont_pay_fee_for_jobs	नौकरी के लिए कोई शुल्क न दें
report_suspicious_jobs	संदिग्ध नौकरियों की शिकायत DutyPe को करें
oops_something_wrong	ओह! कुछ गड़बड़ हो गई
try_again_button	फिर कोशिश करें
something_went_wrong_error	कुछ गड़बड़ हो गई
no_jobs_found_error	कोई नौकरी नहीं मिली
view_all_jobs_button	सभी नौकरियाँ देखें
filter_jobs	नौकरियाँ फ़िल्टर करें
reset	रीसेट करें
sort_by	इसके अनुसार क्रमबद्ध करें
salary_range	वेतन सीमा
maximum_distance	अधिकतम दूरी
applicant_hired_successfully	आवेदक सफलतापूर्वक चयनित!
later	बाद में
retry_button	फिर कोशिश करें
copy_code	कोड कॉपी करें
share	शेयर करें
total_referrals	कुल रेफरल
successful	सफल
withdraw_earnings	कमाई निकालें
available_balance	उपलब्ध: ₹%d
conversion_rate	रूपांतरण दर
total_clicks	कुल क्लिक
your_rank	आपकी रैंक
projected_monthly	अनुमानित मासिक
navigate	रास्ता दिखाएँ
full_name_label	पूरा नाम
email_address	ईमेल पता
phone_number_label	फ़ोन नंबर
address_label	पता
date_of_birth_label	जन्म तिथि
gender_label	लिंग
generate_new_code	नया कोड बनाएँ
done_button	हो गया
dismiss	बंद करें
role_worker	कर्मचारी
role_employer	नियोक्ता
view_analytics	विश्लेषण देखें
full_name_required	पूरा नाम *
enter_full_name	अपना पूरा नाम दर्ज करें
email_address_verified	ईमेल पता (सत्यापित)
email_address_optional	ईमेल पता (वैकल्पिक)
enter_email	अपना ईमेल दर्ज करें
phone_number_verified	फ़ोन नंबर (सत्यापित)
phone_number_required	फ़ोन नंबर *
enter_10_digit_phone	10 अंकों का फ़ोन नंबर दर्ज करें
select_experience_level	अपना अनुभव स्तर चुनें
company_name_required	कंपनी का नाम *
enter_company_name	अपनी कंपनी का नाम दर्ज करें
contact_phone_required	संपर्क फ़ोन *
