post_job_ready_percent	%1$d%% तैयार
urgent_workers_needed_help	आप इतने कर्मचारी चुन सकते हैं। संख्या पूरी होने पर तत्काल ज़रूरत भरी हुई मानकर बंद हो जाती है।
urgent_work_notes_hint	समय, सटीक काम, लैंडमार्क
urgent_auto_category	अपने आप चुनी गई श्रेणी
urgent_auto_category_waiting	श्रेणी पहचानने के लिए काम का नाम लिखें
urgent_timing	समय
urgent_when	कब
urgent_tomorrow	कल
urgent_today_expiry	यह तत्काल नौकरी 24 घंटे में समाप्त हो जाएगी।
urgent_scheduled_expiry	%1$s वाली पोस्ट 48 घंटे में समाप्त हो जाती हैं।
urgent_pay_reach	वेतन और पहुँच
urgent_budget	बजट
urgent_budget_hint	रु 500, प्रति घंटा, बातचीत योग्य
urgent_find_workers	कर्मचारी खोजें
urgent_find_workers_within	अपने कार्य स्थान से %1$d किमी के भीतर कर्मचारी खोजें।
urgent_workers_within_10km_notified	10 किमी के भीतर के कर्मचारियों को सूचना मिलेगी।
urgent_phone_hint	+91 फ़ोन नंबर
urgent_need_posted_toast	तत्काल ज़रूरत पोस्ट हो गई
urgent_needs_posted	पोस्ट की गई तत्काल ज़रूरतें
urgent_track_workers_today	आज जवाब देने वाले कर्मचारियों पर नज़र रखें
urgent_empty_summary	अभी कोई तत्काल ज़रूरत पोस्ट नहीं की गई। जब आज या कल पास के कर्मचारी चाहिए हों तब इसका इस्तेमाल करें।
urgent_empty_title	अभी कोई तत्काल ज़रूरत नहीं
urgent_empty_body	जब आज स्थानीय मदद चाहिए हो तब तत्काल ज़रूरत पोस्ट करें।
urgent_request_not_found	तत्काल अनुरोध नहीं मिला
urgent_mini_meta	%1$s • %2$d/%3$d चुने गए • %4$d जवाब
urgent_need_count	%1$d चाहिए
urgent_selected_count	%1$d/%2$d चुने गए
urgent_responses_count	%1$d जवाब
urgent_done_count	%1$d पूरे हुए
urgent_notified_count	%1$d को सूचना गई
urgent_no_worker_responses	अभी किसी कर्मचारी का जवाब नहीं आया।
required_workers_selected	ज़रूरी कर्मचारी चुन लिए गए
worker_profile_fallback	कर्मचारी प्रोफ़ाइल
mark_done	पूरा हुआ चिह्नित करें
no_show	कर्मचारी नहीं आया
rate	रेटिंग दें
rated	रेटिंग दी गई
complete_urgent_work	तत्काल काम पूरा करें
mark_no_show	कर्मचारी नहीं आया
mark_urgent_job_filled	भरी हुई चिह्नित करें
cancel_urgent_request	तत्काल नौकरी रोकें
urgent_complete_note_message	एक छोटी पूर्णता टिप्पणी जोड़ें। इससे समीक्षाएँ और इतिहास साफ़ रहते हैं।
urgent_complete_note_hint	काम आमने-सामने पूरा हुआ
urgent_no_show_message	इसका इस्तेमाल केवल तब करें जब चुना गया कर्मचारी काम पर नहीं आया।
urgent_no_show_hint	कर्मचारी नहीं आया
urgent_cancel_message	कर्मचारियों को यह तत्काल नौकरी दिखनी बंद हो जाएगी। जब अब कर्मचारी न चाहिए हों तब इसका इस्तेमाल करें।
urgent_cancel_hint	अब कर्मचारी नहीं चाहिए
cancel_request	तत्काल नौकरी रोकें
stop_urgent_job	तत्काल नौकरी रोकें
urgent_request_title	तत्काल अनुरोध
urgent_responses_actions_subtitle	कर्मचारियों के जवाब और कार्रवाई
this_worker	यह कर्मचारी
failed_submit_rating	रेटिंग भेजी नहीं जा सकी
unable_to_open_dialer	डायलर नहीं खुल सका
contact_number_unavailable	संपर्क नंबर उपलब्ध नहीं
location_updated	स्थान अपडेट हो गया
worker_location_fetch_failed	आपका मौजूदा स्थान नहीं मिल सका। GPS जाँचें और फिर कोशिश करें।
worker_location_update_failed	स्थान अपडेट नहीं हो सका: %1$s
location_permission_required_current	मौजूदा स्थान इस्तेमाल करने के लिए लोकेशन अनुमति ज़रूरी है।
please_login_instant_works	तत्काल कामों के लिए कृपया लॉगिन करें
set_location_before_instant	तत्काल काम चालू करने से पहले अपना स्थान तय करें
choose_work_location	कार्य स्थान चुनें
choose_work_location_body	जिस क्षेत्र की नौकरियाँ देखनी हैं उसे GPS से लें या खोजें।
fetching_location	स्थान पता किया जा रहा है
use_current_location	मौजूदा स्थान इस्तेमाल करें
search_location	स्थान खोजें
area_street_city	क्षेत्र, गली, शहर
need_worker_today	आज कर्मचारी चाहिए?
need_worker_today_body	आज पास के कर्मचारियों के लिए तत्काल ज़रूरत पोस्ट करें, या नियमित भर्ती के लिए सामान्य नौकरी बनाएँ।
need_faster_results	तेज़ नतीजे चाहिए?
need_faster_results_body	पास के उपलब्ध कर्मचारियों तक पहुँचने के लिए तत्काल ज़रूरत पोस्ट करें। आज वाली पोस्ट 24 घंटे में समाप्त हो जाती हैं।
post_normal_job	सामान्य नौकरी पोस्ट करें
post_normal_job_subtitle	लंबी अवधि के रोज़गार के लिए
urgent_and_normal_jobs_posted	पोस्ट की गई नौकरियाँ
action_due	कार्रवाई बाकी
instant_match	🔥 तुरंत मैच
urgent_need_desc	घंटे/दिन के कामों के लिए पास के कर्मचारियों को तुरंत भर्ती करें।
standard_job_tag	📄 सामान्य
standard_job_desc	पूर्णकालिक/अंशकालिक रोज़गार के लिए विस्तृत रिक्तियाँ बनाएँ।
normal_job	सामान्य नौकरी
urgent_need	तत्काल ज़रूरत
post_job_urgent_tab_desc	उसी दिन स्थानीय मदद के लिए। कर्मचारी तत्काल कार्ड से जल्दी जवाब दे सकते हैं।
post_job_normal_tab_desc	आवेदन, मैचिंग और हायरिंग रूम के साथ नियमित भर्ती के लिए।
error_open_edit_screen	संपादन स्क्रीन खोलने में त्रुटि: %1$s
error_open_applications	आवेदन खोलने में त्रुटि: %1$s
view_applications	आवेदन देखें
job_analytics	नौकरी विश्लेषण
hiring_room_best_matches	सर्वोत्तम मैच
hiring_room_applied_workers	आवेदन करने वाले कर्मचारी
close_job_when_filled	नौकरी को भरी हुई चिह्नित करें
close_job_when_filled_body	कर्मचारियों को यह नौकरी भरी हुई दिखेगी और नए आवेदन बंद हो जाएँगे। चुने गए आवेदक का इतिहास यहाँ बना रहेगा।
job_closed_as_filled	नौकरी भरी हुई चिह्नित की गई
open_job	खुली नौकरी
closed_job	बंद नौकरी
live	लाइव
filled	भरी हुई
applicants	आवेदक
nearby_matches	पास के मैच
call_ready	कॉल के लिए तैयार
hiring_status	भर्ती की स्थिति
open_status	खुला
done_status	पूर्ण
closing	चिह्नित किया जा रहा है
closing_ellipsis	चिह्नित किया जा रहा है...
close_job	नौकरी को भरी हुई चिह्नित करें
closed	बंद
unable_to_close_job	नौकरी को भरी हुई चिह्नित नहीं किया जा सका
dutype_job	DutyPe नौकरी
ranking_hint_best_first	सर्वोत्तम पहले: कॉल के लिए तैयार कर्मचारी और पूरी प्रोफ़ाइल ऊपर दिखाई जाती हैं।
best_first_for_applicants	%1$d आवेदकों के लिए सर्वोत्तम पहले
call_ready_lifted_first	%1$d कॉल-तैयार उम्मीदवार पहले दिखाए गए हैं। अधूरी या बंद प्रोफ़ाइल सूची में नीचे रहती हैं।
work_marked_done_rate_now	काम पूरा चिह्नित किया गया। अब आप इस कर्मचारी को रेटिंग दे सकते हैं।
already_rated_worker	आप इस कर्मचारी को पहले ही रेटिंग दे चुके हैं
call_worker	कर्मचारी को कॉल करें
no_strong_worker_matches	अभी कोई मज़बूत कर्मचारी मैच नहीं
job_is_filled	नौकरी भर चुकी है
best_workers_for_job	इस नौकरी के लिए सर्वोत्तम कर्मचारी
filled_job_matches	भरी हुई नौकरी के मैच
waiting_applied_workers	आवेदन करने वाले कर्मचारियों की प्रतीक्षा
waiting_worker_responses	कर्मचारियों के जवाब की प्रतीक्षा
instant_works_near_you	आपके पास तत्काल काम
instant_works_switch_on	लाइव स्थानीय तत्काल नौकरियाँ पहले देखने के लिए ऊपर का स्विच चालू करें
instant_works_ready_switch	तत्काल काम के लिए तैयार हों तो ऊपर के स्विच का इस्तेमाल करें।
instant_works_location_first	अपना स्थान तय करें, फिर तत्काल काम के लिए ऊपर के स्विच का इस्तेमाल करें।
instant_no_requests_nearby	अभी पास में कोई तत्काल अनुरोध नहीं। पहली सूचना पाने के लिए उपलब्धता चालू रखें।
no_urgent_jobs_currently	फ़िलहाल आपके क्षेत्र में कोई तत्काल नौकरी नहीं।
normal_vacancy_jobs	सामान्य रिक्ति नौकरियाँ
urgent_workers_needed_count	%1$d कर्मचारी चाहिए
contacted	संपर्क किया गया
contact_shared_no_apply	नियोक्ता के साथ संपर्क साझा किया गया। दोबारा आवेदन करने की ज़रूरत नहीं।
employer_selected_urgent	नियोक्ता ने आपको इस तत्काल काम के लिए चुना है।
urgent_work_completed	यह तत्काल काम पूरा हो गया है।
urgent_work_applied_no_apply	आपने इस तत्काल काम के लिए आवेदन कर दिया है। दोबारा आवेदन करने की ज़रूरत नहीं।
urgent_employer_requests	तत्काल नियोक्ता अनुरोध
no_urgent_work_yet	अभी कोई तत्काल काम नहीं
urgent_history_empty_body	स्वीकार किए गए तत्काल काम यहाँ नियोक्ता संपर्क और स्थिति के साथ दिखेंगे।
urgent_work	तत्काल काम
viewed	देखा गया
applied_workers_empty_body	इस नौकरी पर जवाब देने वाले कर्मचारी यहाँ दिखेंगे।
applications_empty_body	जब कर्मचारी आपकी नौकरियों पर आवेदन करना शुरू करेंगे तो आवेदन यहाँ दिखेंगे।
please_login_upload_logo	लोगो अपलोड करने के लिए कृपया लॉगिन करें
company_logo_updated	कंपनी का लोगो अपडेट हो गया!
failed_upload_logo	लोगो अपलोड नहीं हो सका। कृपया फिर कोशिश करें।
error_uploading_logo	लोगो अपलोड करने में त्रुटि
workers_rated_you	कर्मचारियों ने आपको रेटिंग दी
you_rated_workers	आपने कर्मचारियों को रेटिंग दी
review_publish_repost	अपनी दोबारा पोस्ट की समीक्षा करें और प्रकाशित करें
share_job_invalid	त्रुटि: नौकरी शेयर नहीं हो सकती (अमान्य जॉब ID)
job_share_clip_label	नौकरी शेयर
share_job_title	नौकरी शेयर करें
job_copied_clipboard	नौकरी का विवरण क्लिपबोर्ड पर कॉपी हो गया
no_dialer_app_available	कोई डायलर ऐप उपलब्ध नहीं
complete_profile_to_apply	आवेदन करने के लिए कृपया अपनी प्रोफ़ाइल पूरी करें
submit_update	अपडेट भेजें
job_image_updated	नौकरी की तस्वीर अपडेट हो गई
preview	पूर्वावलोकन
job_deleted	नौकरी हटा दी गई
failed_save_job_image	नौकरी की तस्वीर सहेजी नहीं जा सकी
image_upload_failed	तस्वीर अपलोड नहीं हो सकी
delete_this_job_title	यह नौकरी हटाएँ?
delete_this_job_body	यह क्रिया वापस नहीं की जा सकती। पोस्टिंग आपकी सूची से हटा दी जाएगी।
failed_delete_job	नौकरी हटाई नहीं जा सकी
upload_failed_message	अपलोड विफल: %1$s
employers_rated_you	नियोक्ताओं ने आपको रेटिंग दी
you_rated_employers	आपने नियोक्ताओं को रेटिंग दी
photo_upload_unavailable	फ़ोटो अपलोड फ़िलहाल उपलब्ध नहीं। कृपया बाद में कोशिश करें।
network_error_check_connection	नेटवर्क त्रुटि। कृपया अपना कनेक्शन जाँचें।
photo_upload_failed	फ़ोटो अपलोड नहीं हो सकी। कृपया फिर कोशिश करें।
hiring_categories_optional	भर्ती श्रेणियाँ (वैकल्पिक)
hiring_categories_hint	जैसे खाना बनाना, सफ़ाई, डिलीवरी
edit_job_title_hint	जैसे, रसोइया, ड्राइवर, सफ़ाईकर्मी
please_login_upload_image	तस्वीर अपलोड करने के लिए कृपया लॉगिन करें
